ID_ATIV_ECON_ESTABELECIMENTO;DATA_INICIO_ATIVIDADE;IND_POSSUI_ALVARA;ENDERECO;NOME
68177;27/11/2020;SIM;AVENIDA DO CONTORNO, 9090, BARRO PRETO, Belo Horizonte - MG;GCC COMERCIO DE ALIMENTACAO LTDA
68178;27/11/2020;SIM;RUA MATO GROSSO, 1100, SANTO AGOSTINHO, Belo Horizonte - MG;GCC COMERCIO DE ALIMENTACAO LTDA
68183;14/06/2012;NÃO;RUA SANTA RITA DURAO, 999, SAVASSI, Belo Horizonte - MG;SANTA RITA DURAO RESTAURANTE LTDA
68203;14/06/2012;NÃO;RUA TAVARES DE MELO, 241, CACHOEIRINHA, Belo Horizonte - MG;JENNIFER FABIOLA FERREIRA DE SOUZA 11211049671
68558;27/06/2012;NÃO;RUA JOAO NEIVA, 148, MARIANO DE ABREU, Belo Horizonte - MG;VONICE NASCIMENTO DE OLIVEIRA 81703384687
67581;24/05/2012;SIM;RUA JOSE RODRIGUES PEREIRA, 1274, BURITIS, Belo Horizonte - MG;KINOKO RESTAURANTE LTDA
67901;01/06/2012;SIM;RUA MATO GROSSO, 644, BARRO PRETO, Belo Horizonte - MG;DULCE BUFFET,RESTAURANTE E LANCHONETE LTDA
67910;04/06/2012;SIM;RUA CAPIM BRANCO, 100, MADRE GERTRUDES, Belo Horizonte - MG;MEIRE ROSE SENA 66438900630
67913;04/06/2012;NÃO;RUA CAMOES, 393, COPACABANA, Belo Horizonte - MG;ANA MARIA MACIEL DE OLIVEIRA 08493402680
68221;14/06/2012;NÃO;RUA EXPEDICIONARIO JOAO BATISTA ROTELO, 731, MARIANO DE ABREU, Belo Horizonte - MG;15.710.859 SERGIO LUIZ GOMES
68612;27/06/2012;NÃO;RUA TAVARES DE MELO, 241, CACHOEIRINHA, Belo Horizonte - MG;ANA PAULA CRISTINA PEREIRA 05225583644
67607;24/05/2012;NÃO;RUA IBITIRA, 16, SANTA MARIA, Belo Horizonte - MG;MARGARIDA MARIA DA CONCEICAO AZEVEDO 55533809600
67935;04/06/2012;SIM;RUA FLORENCIO JOSE DOS SANTOS, 250, ALIPIO DE MELO, Belo Horizonte - MG;JOSE ORMARANIO FREIRE - 597.789.546-15
67619;24/05/2012;NÃO;RUA ELISIO DE BRITO, 821, BOA VISTA, Belo Horizonte - MG;CARLA MARIA SILVA LEITE 07133771608
67941;04/06/2012;NÃO;RUA CURITIBA, 2578, LOURDES, Belo Horizonte - MG;AFFT BAR E RESTAURANTE LTDA.
67975;05/06/2012;NÃO;RUA DOS BORGES, 46, VILA MARIA, Belo Horizonte - MG;REINALDO FELISMINO DA SILVA 01303731681
68280;18/06/2012;NÃO;RUA MARIO JOSE FRANCISCO, 136, BETANIA, Belo Horizonte - MG;DAYANNE MARCELLE COTA DA SILVA COLEN 08835759650
68622;28/06/2012;SIM;AVENIDA DO CONTORNO, 6990, LOURDES, Belo Horizonte - MG;SUSHI E HAND ROLLS LTDA
68625;28/06/2012;NÃO;RUA CIPRIANO DE CARVALHO, 526, CINQUENTENARIO, Belo Horizonte - MG;RESTAURANTE E PIZZARIA PANELA VELHA LTDA
67658;26/05/2012;SIM;AVENIDA SENADOR LEVINDO COELHO, 3988, MANGUEIRAS, Belo Horizonte - MG;VALDIRA APARECIDA RODRIGUES DA SILVA 02989920609
67998;06/06/2012;SIM;AVENIDA FLOR DE SEDA, 50, LINDEIA, Belo Horizonte - MG;MARIA DE LOURDES PEREIRA 49919725668
68301;18/06/2012;NÃO;AVENIDA DOM PEDRO II, 4116, MONSENHOR MESSIAS, Belo Horizonte - MG;RESTAURANTE MAOS DADAS LTDA
68448;23/06/2012;NÃO;RUA PADRE ARGEMIRO MOREIRA, 25, VILA SAO GABRIEL, Belo Horizonte - MG;MARIA APARECIDA DOS SANTOS 97980226615
68451;23/06/2012;NÃO;RUA CAMPOS SALES, 874, CALAFATE, Belo Horizonte - MG;JOAO PAULO REBELO GOMES
68454;24/06/2012;NÃO;RUA VICENTINA MARIA FREITAS, 119, SANTA RITA, Belo Horizonte - MG;15.765.302 MARIA DO CARMO MAIA DIAS
68017;08/06/2012;NÃO;AVENIDA BERNARDO DE VASCONCELOS, 1449, SANTA CRUZ, Belo Horizonte - MG;ANA MARIA PERPETUO DA SILVA 54907357672
68327;19/06/2012;NÃO;RUA PORTO SEGURO, 307, NOVA VISTA, Belo Horizonte - MG;GLEYSON LUCIO BERNARDES 03647738638
68328;19/06/2012;NÃO;RUA SAO BENEDITO, 135, SAO JOAO BATISTA, Belo Horizonte - MG;IVONETE MARTINS LEITE 88367169620
68335;19/06/2012;NÃO;RUA PARU, 900, NOVA FLORESTA, Belo Horizonte - MG;NIZAR SOARES ABDUL SAMAD 75283859649
68492;25/06/2012;NÃO;RUA DESEMBARGADOR BARCELOS, 259, CALAFATE, Belo Horizonte - MG;NELMA DA SILVA REIS 06854288770
68058;11/06/2012;SIM;RUA DA RESSURREICAO, 257, JARDIM SAO JOSE, Belo Horizonte - MG;HELENITA DE JESUS GOMES 30014328615
68351;20/06/2012;NÃO;AVENIDA GUARAPARI, 872, SANTA AMELIA, Belo Horizonte - MG;LUCIENE DE FIGUEIREDO
68061;11/06/2012;SIM;AVENIDA NELIO CERQUEIRA, 1957, TIROL, Belo Horizonte - MG;15.680.918 SONIA GERALDA MEIRA MARQUES
68376;20/06/2012;NÃO;RUA RIO POMBA, 280, CARLOS PRATES, Belo Horizonte - MG;RITA APARECIDA DE CASSIA BARRETO 84646209772
67259;11/05/2012;NÃO;RUA DAS DRACENAS, 259, LINDEIA, Belo Horizonte - MG;ANGELA MARIA NORBERTO DA SILVA 00118391631
66613;19/04/2012;NÃO;RUA COARI, 241, GROTA, Belo Horizonte - MG;DANIEL FERREIRA BRAGA 08084667637
67271;11/05/2012;NÃO;RUA GURUTUBA, 106, SANTO ANDRE, Belo Horizonte - MG;VIVIANE LACERDA CURRY CARNEIRO BAR E LANCHONETE
67277;14/05/2012;NÃO;RUA SAO CLEMENTE, 1033, APARECIDA, Belo Horizonte - MG;SERGIO WELLINGTON DE JESUS 74641590630
67287;14/05/2012;SIM;RUA DORIVAL MACHADO, 201, SANTA MONICA, Belo Horizonte - MG;RAIMUNDO NONATO PEREIRA 41540654672
66276;04/04/2012;SIM;RUA MUZAMBINHO, 571, SERRA, Belo Horizonte - MG;ARAMAZ CONSULTORIA SERVICOS E COMERCIO LTDA
66635;18/04/2012;SIM;AVENIDA CRISTIANO MACHADO, 11833, VILA CLORIS, Belo Horizonte - MG;LAP COMERCIO DE ALIMENTOS LTDA
66978;27/04/2012;NÃO;RUA ALMADA, 88, PINDORAMA, Belo Horizonte - MG;BAR E RESTAURANTE TADIM LTDA
66316;09/04/2012;SIM;RUA PACIFICO MASCARENHAS, 26, SANTA EFIGENIA, Belo Horizonte - MG;COZINHA LA DE CASA LTDA
66654;20/04/2012;NÃO;AVENIDA DOM PEDRO II, 3190, CAICARAS, Belo Horizonte - MG;CARLOS ANTONIO COLINI 75263149620
66667;20/04/2012;NÃO;RUA CAJAMAR, 7, PIRATININGA, Belo Horizonte - MG;MANOEL DE FREITAS 04972289635
67311;15/05/2012;SIM;RUA ITAJUBA, 1180, SAGRADA FAMILIA, Belo Horizonte - MG;JULIO SEBASTIAO BARBOSA DE SOUZA 63940906620
67312;15/05/2012;NÃO;RUA ALVARO FERREIRA CARDOSO, 636, CARDOSO, Belo Horizonte - MG;WALASSE LEONARDO DE PAULA 07098523631
66674;20/04/2012;NÃO;RUA CORONEL ANTONIO FERREIRA DO PRADO, 26, LINDEIA, Belo Horizonte - MG;ELIETE APARECIDA ROCHA OLIVEIRA 72182920625
67019;02/05/2012;SIM;RUA CURITIBA, 1022, CENTRO, Belo Horizonte - MG;RESTAURANTE ANA MARIA II LTDA
67357;17/05/2012;NÃO;RUA TAPIRI, 288, OESTE, Belo Horizonte - MG;SILVANA SANTOS SILVEIRA 02685453679
66695;23/04/2012;SIM;RUA LIBERO BADARO, 493, SANTA ROSA, Belo Horizonte - MG;BOTECOS BH LTDA
66370;11/04/2012;SIM;RUA ILACIR PEREIRA LIMA, 134, SILVEIRA, Belo Horizonte - MG;CASA DE CHURRASCO NOVILHA NA BRASA LTDA
67050;06/05/2012;NÃO;AVENIDA CRISTIANO MACHADO, 4000, UNIAO, Belo Horizonte - MG;BARBOSA & LOURES ALIMENTOS LTDA
66096;31/03/2012;NÃO;RUA DOS AMERICANOS, 439, MILIONARIOS, Belo Horizonte - MG;CLAUDINEI JOSE DE FREITAS 89230841668
67108;03/05/2012;SIM;RUA DOUTOR RIBEIRO PENA, 120, BAIRRO DAS INDUSTRIAS I, Belo Horizonte - MG;ALL RIGHT ROCK BAR LTDA
66112;30/03/2012;NÃO;RUA JURAMENTO, 5, POMPEIA, Belo Horizonte - MG;FRANGO NOSSO LTDA
66445;10/04/2012;SIM;RUA FRANCISCO BRETAS BHERING, 324, COPACABANA, Belo Horizonte - MG;CAIPIRA XIQUE LTDA
66455;13/04/2012;NÃO;AVENIDA DOM JOSE GASPAR, 19, CORACAO EUCARISTICO, Belo Horizonte - MG;ASSAMASSA COMERCIO ALIMENTICIO LTDA
66458;13/04/2012;NÃO;AVENIDA VEREADOR CICERO ILDEFONSO, 74, JOAO PINHEIRO, Belo Horizonte - MG;ELISANGELA MARIA DE SOUZA
67124;08/05/2012;NÃO;RUA PROFESSOR SILVEIRA NETO, 126, CAMARGOS, Belo Horizonte - MG;GERALDO EUSTAQUIO PEDROSA 13264249634
66144;02/04/2012;NÃO;RUA TURQUESA, 1081, CALAFATE, Belo Horizonte - MG;EMILIO HADDAD NETO 71502882604
66145;02/04/2012;NÃO;RUA JOSE BASILIO, 22, PARQUE SAO JOSE, Belo Horizonte - MG;ANSELMO SANTANA DE SOUZA 68225784634
66162;03/04/2012;SIM;RUA ALAGOAS, 750, SAVASSI, Belo Horizonte - MG;CHEGUEI! COMERCIO DE ALIMENTOS LTDA
66171;03/04/2012;NÃO;RUA DAVIDSON GONCALVES DA SILVA, 143, VILA SAO JOAO BATISTA, Belo Horizonte - MG;IGOR LUCAS ROCHA DE ALMEIDA 07934094620
67170;10/05/2012;SIM;RUA ANFIBOLIOS, 330, BONFIM, Belo Horizonte - MG;RESTAURANTE E LANCHONETE MANANCIAL LTDA
66867;26/04/2012;NÃO;RUA IPACARAI, 187, PINDORAMA, Belo Horizonte - MG;CHRISTIANO ANASTACIO ROCHA 04857263602
66529;17/04/2012;NÃO;RUA ZELIA JACINTA DA COSTA, 185, JARDIM VITORIA, Belo Horizonte - MG;NADIA VASCONCELOS BRANDAO SOARES 02537806670
66223;03/04/2012;NÃO;RUA LASSANCE, 995, SAO GERALDO, Belo Horizonte - MG;15.314.202 NEIDE DE ALMEIDA FERRAZ
66241;04/04/2012;NÃO;RUA DAS TOURADAS, 170, MADRI, Belo Horizonte - MG;JOAQUIM COELHO DA COSTA 00259360694
70982;20/09/2012;NÃO;RUA AMANDO COUTO, 165, VILA SAO TOMAZ, Belo Horizonte - MG;JOSE INACIO FERREIRA 19525729672
70360;28/08/2012;SIM;RUA DIAMANTINA, 658, LAGOINHA, Belo Horizonte - MG;RESTAURANTE E LANCHONETE BANDOLIM LTDA
70671;10/09/2012;SIM;AVENIDA VILARINHO, 3440, EUROPA, Belo Horizonte - MG;DIANA APARECIDA DE SOUZA OLIVEIRA RESTAURANTE
70051;14/08/2012;NÃO;RUA SERGIO MIRANDA MOREIRA, 329, OURO PRETO, Belo Horizonte - MG;CLAUDIA REGINA LAUDINO 99740214649
71083;24/09/2012;NÃO;AVENIDA ITAU, 526, DOM CABRAL, Belo Horizonte - MG;WALTER MANSUETO MIGUEL 32639481649
70407;28/08/2012;NÃO;RUA TRES MIL E VINTE E SETE, 48, NAZARE, Belo Horizonte - MG;KATIA BORGES DA SILVA BATISTA 03831605610
70416;29/08/2012;NÃO;RUA ITANHAEM, 345, PIRATININGA, Belo Horizonte - MG;MARIA NEUZA DA FONSECA SORAES 87501570604
70089;16/08/2012;NÃO;RUA EDSON LUIZ MIRANDA, 93, MARIA GORETTI, Belo Horizonte - MG;MARCIO LUIZ DA SILVA 04413289625
70100;16/08/2012;NÃO;RUA MICA, 105, NOSSA SENHORA DA APARECIDA, Belo Horizonte - MG;VALDILENE ALVES VIEIRA 04075690652
70738;12/09/2012;NÃO;RUA MANGABEIRA DA SERRA, 43, MARCOLA, Belo Horizonte - MG;JOAQUIM SOARES ROCHA 00136264697
70453;30/08/2012;NÃO;RUA DORIVAL MACHADO, 799, SANTA MONICA, Belo Horizonte - MG;VALDIRENE TORRES FREITAS 02767631651
71223;27/09/2012;SIM;RUA DOUTOR ALVARO CAMARGOS, 1868, SAO JOAO BATISTA, Belo Horizonte - MG;AUREA DE OLIVEIRA LOPES 41194977634
71230;27/09/2012;NÃO;RUA JAIR HIGINO MOREIRA, 25, CONJUNTO JARDIM FILADELFIA, Belo Horizonte - MG;MARIA GENI DE SOUSA
70137;17/08/2012;SIM;AVENIDA PERIMETRAL, 251, CASTANHEIRA, Belo Horizonte - MG;VALQUIRIA MOREIRA CAETANO 11824671644
70152;20/08/2012;SIM;RUA DOS TUPIS, 5, CENTRO, Belo Horizonte - MG;PIZZARIA E LANCHONETE TUPIS LTDA
70785;13/09/2012;NÃO;RUA BERNARDO GUIMARAES, 2599, SANTO AGOSTINHO, Belo Horizonte - MG;NUTS BURGER BAR LTDA
71123;25/09/2012;NÃO;PRACA DUQUE DE CAXIAS, 143, SANTA TEREZA, Belo Horizonte - MG;MICHEL SANTOS COUTO 07756915690
70787;13/09/2012;NÃO;RUA PLATINA, 1140, CALAFATE, Belo Horizonte - MG;GERALDA LUCINETE SILVA 25351780879
70790;13/09/2012;NÃO;RUA BONFIM, 544, BONFIM, Belo Horizonte - MG;ELVIRA FERREIRA 07783095682
70514;03/09/2012;NÃO;RUA GENTIL TEODORO, 82, SANTA CRUZ, Belo Horizonte - MG;MARIANA DE BARROS BRANDAO MONTEIRO 05060910660
71244;28/09/2012;NÃO;RUA CELSO CLARK LIMA, 2, PALMEIRAS, Belo Horizonte - MG;PADARIA E MERCEARIA JRS LTDA
70833;15/09/2012;NÃO;RUA LEOPOLDO GOMES, 1577, ALTO VERA CRUZ, Belo Horizonte - MG;16.856.252 MARCOS PAULO MARTINS RABELO
70859;17/09/2012;NÃO;AVENIDA MEM DE SA, 1623, PARAISO, Belo Horizonte - MG;CARLINDA FRANCISCO DE BARROS 98870556620
70239;22/08/2012;NÃO;AVENIDA IVAI, 989, DOM BOSCO, Belo Horizonte - MG;GERALDO JOSE DO CARMO 41747704687
70241;22/08/2012;NÃO;RUA IMBIACA, 805, DOM CABRAL, Belo Horizonte - MG;MARGARIDA MARIA DA SILVA SOUZA 82421889634
70874;18/09/2012;SIM;RUA CASTELO DE SINTRA, 1000, CASTELO, Belo Horizonte - MG;ENJOY RECEPCOES LTDA
70585;05/09/2012;SIM;RUA BOLIVIA, 1294, SANTA RITA DE CASSIA, Belo Horizonte - MG;EDNEY GONCALVES FERREIRA 85046418649
71038;21/09/2012;SIM;RUA NORALDINO LIMA, 250, AEROPORTO, Belo Horizonte - MG;SEBASTIANA ROSELI DE OLIVEIRA NASCIMENTO
70604;06/09/2012;SIM;AVENIDA BRASIL, 1320, FUNCIONARIOS, Belo Horizonte - MG;ESPACO BRASIL LTDA
70622;06/09/2012;NÃO;RUA ALIPIO DE MELO, 70, JARDIM MONTANHES, Belo Horizonte - MG;ELIEZER MARTINS SANTIAGO 31176356615
70910;19/09/2012;SIM;RUA RIO GRANDE DO NORTE, 1560, SAVASSI, Belo Horizonte - MG;RESTAURANTE TUDO NO PONTO LTDA
71056;24/09/2012;NÃO;RUA CONSELHEIRO MATA, 163, SANTO ANDRE, Belo Horizonte - MG;RESENDES BAR LTDA
70625;06/09/2012;NÃO;AVENIDA SARAMENHA, 35, FLORAMAR, Belo Horizonte - MG;CONSUELO DE SOUZA BARBOSA 70039747620
70634;07/09/2012;SIM;AVENIDA GUARAPARI, 1413, SANTA AMELIA, Belo Horizonte - MG;PIZZARIA FORNO D'BARRO LTDA
70941;19/09/2012;NÃO;RUA CORONEL MANOEL ASSUNCAO, 156, MINASCAIXA, Belo Horizonte - MG;WALDIRENE CANUTA 00655141650
69988;13/08/2012;SIM;RUA CONEGO FELICIO, 83, CORACAO EUCARISTICO, Belo Horizonte - MG;BITACA DO BAC LTDA
69993;13/08/2012;NÃO;RUA CABRALIA, 549, NOSSA SENHORA DA APARECIDA, Belo Horizonte - MG;ALVERINA TEODORO AUGUSTO 09358681608
69994;13/08/2012;NÃO;RUA DAS PETUNIAS, 553, LINDEIA, Belo Horizonte - MG;OSCAR LUIZ BATISTA FRANCA 72464208604
70965;03/09/2012;SIM;RUA DOUTOR LUCIDIO AVELAR, 24, BURITIS, Belo Horizonte - MG;RESTAURANTE E CHURRASCARIA SABOR MINEIRO LTDA
70023;14/08/2012;NÃO;RUA SENA MADUREIRA, 522, OURO PRETO, Belo Horizonte - MG;N Y COMERCIO DE ALIMENTOS E MASSAS LTDA
69503;27/07/2012;SIM;AVENIDA FRANCISCO SA, 325, PRADO, Belo Horizonte - MG;COMPANHIA GOURMET LTDA
69504;08/07/2021;SIM;AVENIDA FRANCISCO SA, 306, PRADO, Belo Horizonte - MG;COMPANHIA GOURMET LTDA
69505;24/10/2022;NÃO;RODOVIA PAPA JOAO PAULO II, 4143, SERRA VERDE, Belo Horizonte - MG;COMPANHIA GOURMET LTDA
69843;08/08/2012;NÃO;RUA BERNARDO GUIMARAES, 577, FUNCIONARIOS, Belo Horizonte - MG;BAR DO ITALIANO LTDA
68882;05/07/2012;NÃO;RUA LASSANCE, 500, VILA BOA VISTA, Belo Horizonte - MG;CELIO ANTONIO NEPOMUCENO 23083883668
69545;29/07/2012;NÃO;RUA JOAQUIM GONCALVES DE SOUZA, 19, MARIANO DE ABREU, Belo Horizonte - MG;WANDERCY DE MOURA ARGEU 42213967687
69877;08/08/2012;NÃO;RUA EUCLIDES ANDRADE, 236, SANTO ANDRE, Belo Horizonte - MG;PATRICK MACHADO GONZAGA 81468512668
68896;06/07/2012;SIM;RUA JANETE CLAIR, 171, SANTA MONICA, Belo Horizonte - MG;JUSCELINO GUIMARAES 29359406600
68901;06/07/2012;NÃO;RUA DEPUTADO SEBASTIAO NASCIMENTO, 148, PALMEIRAS, Belo Horizonte - MG;ELAINE MATILDES DA COSTA SOUZA 04053241626
68920;08/07/2012;SIM;PRACA MIRASSOL, 5, CAICARA ADELAIDE, Belo Horizonte - MG;FABIOLA RODRIGUES SANTANA 05250596606
69261;17/07/2012;SIM;RODOVIA STAEL MARY BICALHO MOTTA MAGALHAES, 273, BELVEDERE, Belo Horizonte - MG;PELLUCCI GOURMET RESTAURANTE E LANCHONETE LTDA
69926;10/08/2012;NÃO;RUA CRISTINA, 1270, SANTO ANTONIO, Belo Horizonte - MG;MMB FOODS COMERCIO DE ALIMENTOS E BEBIDAS LTDA
69276;19/07/2012;NÃO;RUA SENHOR SIMEONE, 264, JONAS VEIGA, Belo Horizonte - MG;JOEL LUIS ROCHA 61853860620
69287;19/07/2012;SIM;AVENIDA PETROLINA, 910, SAGRADA FAMILIA, Belo Horizonte - MG;LEAL MATTOS BAR E RESTAURANTE LTDA
69618;31/07/2012;NÃO;RUA PADRE JOSE PEDRO, 5, VILA MARIA, Belo Horizonte - MG;VALDINEI FERNANDES PINTO 97994197604
69302;19/07/2012;NÃO;RUA MONLEVADE, 200, CACHOEIRINHA, Belo Horizonte - MG;RODOLFO NEPOMUCENO PESSOA SANTOS BAR
69306;20/07/2012;NÃO;RUA DOUTOR CAMILO ANTONIO NOGUEIRA, 91, NOSSA SENHORA DA APARECIDA, Belo Horizonte - MG;ADEMIR GONCALVES DE MELO 32730977600
69900;09/08/2012;NÃO;RUA SERGIPE, 1091, SAVASSI, Belo Horizonte - MG;JAMES BURGER HAMBURGUERIA ARTESANAL LTDA
68983;14/09/2017;SIM;RUA DOUTOR FERNANDO SCARPELLI, 15, CASTELO, Belo Horizonte - MG;ANDREIA FLAVIA DOS ANJOS 04849270603
68985;10/07/2012;NÃO;RUA CRICARE, 201, MARIA HELENA, Belo Horizonte - MG;ANDERSON XAVIER SOBRINHO 06814288648
69652;01/08/2012;NÃO;AVENIDA AMAZONAS, 610, CENTRO, Belo Horizonte - MG;CRISTIANE MARIA DE CARVALHO 05531518609
69656;01/08/2012;NÃO;RUA AQUIRI, 95, SAO GONCALO, Belo Horizonte - MG;JOAO PEDRO DOS SANTOS 39903133634
69005;10/07/2012;NÃO;AVENIDA CRISTOVAO COLOMBO, 550, SAVASSI, Belo Horizonte - MG;RHAK LANCHES LTDA
69343;20/07/2012;NÃO;RUA ANAPOLIS, 45, SANTA EFIGENIA, Belo Horizonte - MG;LOURDES FERREIRA MEIRA
69359;23/07/2012;NÃO;RUA GENOVEVA DE SOUZA, 382, SAGRADA FAMILIA, Belo Horizonte - MG;16.553.194 MARIA DE FATIMA MARTINS
68735;03/07/2012;NÃO;RUA BARAO DE CAMARGOS, 95, JARDIM SAO JOSE, Belo Horizonte - MG;SEBASTIAO VIEIRA DE OLIVEIRA 34256644687
68736;03/07/2012;NÃO;RUA AUGUSTA SACCHETTO SCALZO, 235, JARDIM VITORIA, Belo Horizonte - MG;GUILHERMINO MOREIRA DA SILVA 84145382668
68741;03/07/2012;NÃO;RUA CRISTINA, 1295, SANTO ANTONIO, Belo Horizonte - MG;DENISE DUARTE NUNES DA SILVA 01382170688
69735;03/08/2012;NÃO;RUA PADRE PEDRO PINTO, 974, VENDA NOVA, Belo Horizonte - MG;S A DE SOUZA
68753;04/07/2012;NÃO;AVENIDA GETULIO VARGAS, 498, FUNCIONARIOS, Belo Horizonte - MG;LUCIANE MARIN
69093;13/07/2012;NÃO;RUA SOROCABA, 226, PIRATININGA, Belo Horizonte - MG;CARLOS ALBERTO DE SOUZA 64910490604
69422;25/07/2012;SIM;RUA DOUTOR GERALDO STARLING SOARES, 233, LINDEIA, Belo Horizonte - MG;PIZZARIA RECANTO SERTANEJO LTDA
69742;03/08/2012;NÃO;RUA JOSE MARCOS FELICIO, 49, JARDIM DOS COMERCIARIOS, Belo Horizonte - MG;CARLOS CIRIACO DE MELO FILHO 27779785653
68775;04/07/2012;NÃO;RUA PROFESSOR AIMORE DUTRA, 844, VILA SAO JOAO BATISTA, Belo Horizonte - MG;NAIR GUILHERMINA MOTA ALVES 05848702640
69096;13/07/2012;SIM;RUA MAMORE, 275, VILA OESTE, Belo Horizonte - MG;JOILSON LIMA DE OLIVEIRA 07476717619
69451;25/07/2012;NÃO;RUA FERNAO DIAS, 763, ALTO VERA CRUZ, Belo Horizonte - MG;MARIA APARECIDA DA PAIXAO 02820152643
68808;14/06/2012;NÃO;RUA PINHEIROS, 840, NOVA CACHOEIRINHA, Belo Horizonte - MG;RENATO CAMPOS VALE 01279387610
69129;16/07/2012;NÃO;RUA GURUA, 641, BOA VISTA, Belo Horizonte - MG;16.478.698 DEJAINE CAMILO
69457;25/07/2012;NÃO;RUA COPENHAGUE, 71, TREVO, Belo Horizonte - MG;JOAQUINA CONCEICAO DAS NEVES 04212220695
69491;26/07/2012;NÃO;RUA PERDIZES, 851, CAICARA ADELAIDE, Belo Horizonte - MG;ADELAIDE NAZARE FERREIRA 06234358616
68838;05/07/2012;NÃO;AVENIDA RIBEIRO DE PAIVA, 723, ALTO DOS PINHEIROS, Belo Horizonte - MG;ROBERTO RODRIGUES DE OLIVEIRA JUNIOR 26661888172
73554;28/12/2012;NÃO;RUA MARIA DORICA DOS SANTOS, 62, VALE DO JATOBA, Belo Horizonte - MG;LUIZ CARLOS SOARES PATROCINIO DA SILVA 03452580610
73565;02/01/2013;NÃO;RUA PIUM I, 736, CARMO, Belo Horizonte - MG;IMAKO ALIMENTOS LTDA
72628;20/11/2012;SIM;RUA LUCIA MIGUEL PEREIRA, 225, TUPI A, Belo Horizonte - MG;JEFFERSON MAIA GONCALVES 06214503670
72938;29/11/2012;NÃO;RUA HENRIQUE DINIZ, 193, NOVA CACHOEIRINHA, Belo Horizonte - MG;MARIA HELENA DA SILVA 35518910606
73272;12/12/2012;SIM;RUA LIBANIA PENA, 201, SAO BERNARDO, Belo Horizonte - MG;WALDOMIRO DE ARAUJO RANGEL NETO 73777170682
73669;07/01/2013;SIM;RUA MAJOR DELFINO DE PAULA, 1925, SAO FRANCISCO, Belo Horizonte - MG;DARLEI DOS PASSOS COSTA - CPF 06765964606
72657;21/11/2012;SIM;RUA ELOI MENDES, 284, SAGRADA FAMILIA, Belo Horizonte - MG;BAR E MERCEARIA SAGRADA FAMILIA LTDA
72664;21/11/2012;NÃO;AVENIDA DO CONTORNO, 6777, SANTO ANTONIO, Belo Horizonte - MG;ARAUJO CORREA COMERCIO DE ALIMENTOS LTDA
72984;30/11/2012;SIM;RODOVIA BR TREZENTOS E CINQUENTA E SEIS, 2500, SANTA LUCIA, Belo Horizonte - MG;FINO SABOR RESTAURANTE E LANCHONETE LTDA
73300;13/12/2012;NÃO;AVENIDA JOAO ROLLA FILHO, 1240, DIAMANTE, Belo Horizonte - MG;RENATA BRIGIDA DE SOUZA 95963472687
72687;21/11/2012;NÃO;RUA SEVERINO LARA, 148, PARQUE SAO PEDRO, Belo Horizonte - MG;SUZANA APARECIDA GONCALVES LANDEIRA 51892456672
73753;09/01/2013;NÃO;RUA OTAVIO BARRETO, 9, BOA VISTA, Belo Horizonte - MG;MAURICIO DE SOUZA PRADO 72480173615
73345;15/12/2012;NÃO;RUA RAIMUNDO EZEQUIEL DA PAIXAO, 122, SERRA VERDE, Belo Horizonte - MG;LINDOMAR FARIAS LEAL 67334784634
73061;04/12/2012;NÃO;RUA DOUTOR ATHOS ALKIMIM, 35, VILA NOVA GAMELEIRA II, Belo Horizonte - MG;17.254.836 ARINILDA CARLOS DA SILVA GOMES
73384;18/12/2012;SIM;RUA DOS CAETES, 262, CENTRO, Belo Horizonte - MG;BAR E LANCHONETE FIM DE TARDE LTDA
73763;26/12/2012;NÃO;AVENIDA DOS ENGENHEIROS, 1297, ALIPIO DE MELO, Belo Horizonte - MG;LOJA ALFA LTDA
73766;10/01/2013;SIM;AVENIDA DOM JOSE GASPAR, 805, CORACAO EUCARISTICO, Belo Horizonte - MG;VARANDA DO COREU LTDA
72757;19/11/2012;NÃO;RUA OLIVIA MARIA DE JESUS, 1730, FLORAMAR, Belo Horizonte - MG;JRC PIZZARIA E RESTAURANTE LTDA
73091;05/12/2012;NÃO;RUA ALCIDES DE OLIVEIRA, 184, CONFISCO, Belo Horizonte - MG;LUCIA FERNANDES PIMENTA GONCALVES 71401059600
73098;05/12/2012;NÃO;RUA VINTE E QUATRO, 16, VISTA DO SOL, Belo Horizonte - MG;17.260.872 EDILZA SANTOS DE SOUZA
73838;14/01/2013;SIM;RUA FREI LEOPOLDO, 56, SAO LUIZ, Belo Horizonte - MG;RESTAURANTE SABOR D'IRENE LTDA
72784;23/11/2012;NÃO;RUA JOAO NEIVA, 430, MARIANO DE ABREU, Belo Horizonte - MG;IVAN CAMARGOS 35520221634
72794;26/11/2012;NÃO;RUA PRESIDENTE COSTA E SILVA, 100, BAIRRO DAS INDUSTRIAS I, Belo Horizonte - MG;NASSER ACAI LTDA
73118;17/08/2023;NÃO;RUA MAJOR LOPES, 54, SAO PEDRO, Belo Horizonte - MG;RESTAURANTE E LANCHONETE BRUNA & BELLA LTDA
72833;27/11/2012;SIM;RODOVIA BR TREZENTOS E CINQUENTA E SEIS, 3049, BELVEDERE, Belo Horizonte - MG;EMPORIO MEDITERRANEO LTDA
73161;07/12/2012;NÃO;RUA IVAN PEREIRA LIMA, 21, MINASCAIXA, Belo Horizonte - MG;IVANILDE DA CUNHA SOARES 82660867615
